"id","num_amino_acids_in_sample","num_beta_amino_acids_in_sample","numberofAA","num_baa"
"P38325",26,0,NA,NA
"P22007",44,0,NA,NA
"Q12458",90,17,NA,NA
"P20424",70,5,NA,NA
"P53334",41,9,NA,NA
"P32794",49,8,NA,NA
"Q05567",55,12,NA,NA
"Q12029",69,12,NA,NA
"P00572",38,5,NA,NA
"P22147",128,4,NA,NA
"P54003",19,0,NA,NA
"Q06408",127,29,NA,NA
"Q03778",17,9,NA,NA
"P38355",25,0,NA,NA
"P38968",162,35,NA,NA
"P53009",15,0,NA,NA
"P15436",14,0,NA,NA
"Q08230",15,0,NA,NA
"P46995",11,0,NA,NA
"P38627",117,11,NA,NA
"Q06624",59,4,NA,NA
"P53145",34,8,NA,NA
"P32332",32,0,NA,NA
"P13185",32,0,NA,NA
"P32565",149,0,NA,NA
"P38081",34,3,NA,NA
"P14904",162,37,NA,NA
"P39729",74,28,NA,NA
"P09440",146,33,NA,NA
"P15274",71,8,NA,NA
"P49435",58,15,NA,NA
"P25343",20,0,NA,NA
"P0C268",14,0,NA,NA
"P25367",67,0,NA,NA
"P53889",103,24,NA,NA
"P53883",16,15,NA,NA
"Q06106",72,25,NA,NA
"Q12446",18,0,NA,NA
"P53136",28,9,NA,NA
"P40501",19,0,NA,NA
"Q99369",24,1,NA,NA
"Q12196",20,0,NA,NA
"P38234",61,16,NA,NA
"Q04603",14,0,NA,NA
"P00899",74,16,NA,NA
"P37012",95,21,NA,NA
"P40506",61,20,NA,NA
"P32445",49,28,NA,NA
"P40341",21,5,NA,NA
"P38230",36,15,NA,NA
"P23594",25,7,NA,NA
"P38804",11,0,NA,NA
"P41911",75,12,NA,NA
"P32791",22,5,NA,NA
"P11914",28,6,NA,NA
"Q08965",21,5,NA,NA
"P15790",8,0,NA,NA
"P25491",96,29,NA,NA
"P20133",29,0,NA,NA
"P32901",7,0,NA,NA
"P42943",117,22,NA,NA
"Q06678",27,14,NA,NA
"P00410",30,14,NA,NA
"P36017",52,20,NA,NA
"Q06523",69,0,NA,NA
"P30619",42,5,NA,NA
"P06738",86,15,NA,NA
"P40471",52,6,NA,NA
"Q12017",18,5,NA,NA
"P36152",21,1,NA,NA
"Q06679",54,29,NA,NA
"Q08959",20,0,NA,NA
"P53303",59,12,NA,NA
"P53633",32,0,NA,NA
"P53111",47,8,NA,NA
"P43603",65,10,NA,NA
"P38930",24,0,NA,NA
"P41543",82,39,NA,NA
"P21147",58,9,NA,NA
"P39010",31,1,NA,NA
"P06785",85,24,NA,NA
"P42940",16,1,NA,NA
"Q04066",35,8,NA,NA
"P05373",28,4,NA,NA
"Q06010",43,1,NA,NA
"P22217",65,20,NA,NA
"Q05029",72,6,NA,NA
"Q08601",31,5,NA,NA
"P39540",20,0,NA,NA
"P20433",47,0,NA,NA
"P29478",13,8,NA,NA
"P38130",25,0,NA,NA
"P38629",45,0,NA,NA
"P33416",147,25,NA,NA
"P38197",36,14,NA,NA
"Q03774",64,20,NA,NA
"Q05979",73,2,NA,NA
"P40457",17,0,NA,NA
"Q05123",19,0,NA,NA
"Q3E795",12,0,NA,NA
"P40098",34,8,NA,NA
"P47068",124,13,NA,NA
"P32452",8,4,NA,NA
"P27614",133,30,NA,NA
"O13585",7,0,NA,NA
"P38113",15,13,NA,NA
"Q00416",8,0,NA,NA
"P38070",10,0,NA,NA
"Q07505",52,13,NA,NA
"P38328",74,39,NA,NA
"P14832",127,51,NA,NA
"P40515",25,0,NA,NA
"P08456",10,1,NA,NA
"P25043",54,15,NA,NA
"P40088",22,0,NA,NA
"P39111",64,20,NA,NA
"Q12144",7,0,NA,NA
"Q99207",20,0,NA,NA
"Q06336",10,0,NA,NA
"P23201",23,0,NA,NA
"P32857",18,14,NA,NA
"Q04217",27,7,NA,NA
"P43593",78,26,NA,NA
"Q08645",57,5,NA,NA
"P29465",8,0,NA,NA
"P39904",13,0,NA,NA
"P00830",278,63,NA,NA
"P06782",34,0,NA,NA
"P43609",98,2,NA,NA
"Q12154",65,3,NA,NA
"Q12044",22,4,NA,NA
"P53318",26,16,NA,NA
"P09547",9,0,NA,NA
"Q12220",25,7,NA,NA
"P53091",21,10,NA,NA
"P32340",82,17,NA,NA
"Q06543",35,6,NA,NA
"P06101",54,0,NA,NA
"P36161",33,7,NA,NA
"P53010",8,0,NA,NA
"P38177",19,9,NA,NA
"Q01329",25,0,NA,NA
"P38813",19,6,NA,NA
"Q12500",28,0,NA,NA
"P14741",44,5,NA,NA
"P23776",64,7,NA,NA
"Q03529",14,0,NA,NA
"Q12102",17,0,NA,NA
"Q12462",22,0,NA,NA
"P31383",185,0,NA,NA
"P48582",28,0,NA,NA
"Q05788",30,0,NA,NA
"Q01802",18,0,NA,NA
"P43321",9,3,NA,NA
"Q07623",23,7,NA,NA
"P53254",58,21,NA,NA
"Q06833",29,8,NA,NA
"P53731",74,22,NA,NA
"P50095",84,16,NA,NA
"Q02725",25,0,NA,NA
"P25644",63,0,NA,NA
"Q04213",9,8,NA,NA
"P47075",100,11,NA,NA
"P40970",45,13,NA,NA
"P31384",29,7,NA,NA
"P37296",39,0,NA,NA
"P25045",83,19,NA,NA
"P53141",8,0,NA,NA
"P46682",23,0,NA,NA
"P47096",34,17,NA,NA
"P28321",16,8,NA,NA
"P19881",31,3,NA,NA
"P53238",14,1,NA,NA
"P29509",129,46,NA,NA
"P42942",54,20,NA,NA
"P47104",15,0,NA,NA
"P46951",8,0,NA,NA
"P25451",42,19,NA,NA
"P40012",36,0,NA,NA
"Q12335",137,24,NA,NA
"P17555",132,16,NA,NA
"P39076",48,4,NA,NA
"P37302",129,38,NA,NA
"Q03835",25,11,NA,NA
"P53312",67,15,NA,NA
"P27476",87,22,NA,NA
"P32368",105,57,NA,NA
"P12904",32,15,NA,NA
"Q06489",125,33,NA,NA
"Q08971",35,2,NA,NA
"P36081",21,1,NA,NA
"P23724",41,16,NA,NA
"P38840",55,7,NA,NA
"P38810",81,12,NA,NA
"Q03246",9,8,NA,NA
"P53063",27,9,NA,NA
"P00445",144,57,NA,NA
"P25375",85,9,NA,NA
"P53969",18,8,NA,NA
"P53200",7,0,NA,NA
"P38961",14,4,NA,NA
"P07260",103,16,NA,NA
"P39993",33,4,NA,NA
"P40462",90,23,NA,NA
"P20081",95,41,NA,NA
"P32457",10,0,NA,NA
"Q08951",17,0,NA,NA
"P38795",98,15,NA,NA
"P24279",64,13,NA,NA
"P38271",7,3,NA,NA
"P89886",57,26,NA,NA
"P00128",17,0,NA,NA
"P33299",56,3,NA,NA
"P48525",15,1,NA,NA
"Q04373",36,0,NA,NA
"P54783",46,9,NA,NA
"P35207",25,0,NA,NA
"P15367",25,5,NA,NA
"P38850",13,3,NA,NA
"P46959",21,6,NA,NA
"P49687",23,0,NA,NA
"P25719",40,26,NA,NA
"P33322",116,28,NA,NA
"Q06706",148,37,NA,NA
"P07702",169,15,NA,NA
"P53130",17,0,NA,NA
"P25087",113,18,NA,NA
"P47119",66,16,NA,NA
"P23248",33,0,NA,NA
"P33442",34,0,NA,NA
"Q12490",28,0,NA,NA
"P38883",44,0,NA,NA
"P36049",31,0,NA,NA
"Q01476",62,17,NA,NA
"P47077",50,0,NA,NA
"P41814",61,17,NA,NA
"P17709",120,20,NA,NA
"P53723",83,7,NA,NA
"P02406",40,7,NA,NA
"Q99216",14,0,NA,NA
"P36018",35,17,NA,NA
"P34216",168,0,NA,NA
"P32333",29,0,NA,NA
"P18239",109,0,NA,NA
"P01123",64,11,NA,NA
"P39960",173,0,NA,NA
"P40319",68,2,NA,NA
"Q12349",27,0,NA,NA
"Q02648",17,4,NA,NA
"P38295",96,16,NA,NA
"P32474",16,6,NA,NA
"P49954",96,23,NA,NA
"P32895",81,23,NA,NA
"P47143",200,58,NA,NA
"P36519",27,5,NA,NA
"Q02486",12,0,NA,NA
"Q03161",111,56,NA,NA
"P38340",20,2,NA,NA
"P40032",74,21,NA,NA
"Q05040",22,0,NA,NA
"P00927",140,31,NA,NA
"P34221",52,19,NA,NA
"Q12513",12,0,NA,NA
"P53622",277,72,NA,NA
"P40509",68,0,NA,NA
"P43132",32,6,NA,NA
"Q06689",51,0,NA,NA
"P04456",50,12,NA,NA
"P46956",60,16,NA,NA
"P53327",45,16,NA,NA
"P40513",37,0,NA,NA
"P52911",43,8,NA,NA
"P07284",197,27,NA,NA
"P21576",179,17,NA,NA
"P34110",12,0,NA,NA
"P04051",52,20,NA,NA
"P35719",19,0,NA,NA
"Q04225",58,14,NA,NA
"O13535",69,13,NA,NA
"P04806",185,46,NA,NA
"P53860",30,3,NA,NA
"P32179",24,4,NA,NA
"P39517",137,30,NA,NA
"P12754",113,13,NA,NA
"P53852",114,3,NA,NA
"P15454",97,19,NA,NA
"P38077",35,17,NA,NA
"P03871",10,2,NA,NA
"P06786",74,12,NA,NA
"P53551",23,0,NA,NA
"P38116",84,16,NA,NA
"P47771",40,10,NA,NA
"P13382",7,6,NA,NA
"O13563",41,16,NA,NA
"P54885",89,31,NA,NA
"P52918",26,0,NA,NA
"P38701",76,20,NA,NA
"P38013",157,46,NA,NA
"P41057",10,2,NA,NA
"P30605",27,0,NA,NA
"P00815",322,56,NA,NA
"P38221",20,0,NA,NA
"P09734",72,10,NA,NA
"P09032",43,13,NA,NA
"P25294",84,15,NA,NA
"Q12074",137,35,NA,NA
"P39714",114,28,NA,NA
"P37254",24,7,NA,NA
"P36010",49,7,NA,NA
"P20967",128,22,NA,NA
"P22133",53,10,NA,NA
"Q02795",32,6,NA,NA
"P43638",10,0,NA,NA
"P80428",30,0,NA,NA
"P32621",47,3,NA,NA
"Q08287",14,0,NA,NA
"P12612",149,13,NA,NA
"P21825",8,0,NA,NA
"P57744",12,0,NA,NA
"P61830",39,0,NA,NA
"P32769",71,22,NA,NA
"P38626",81,22,NA,NA
"P38426",86,11,NA,NA
"P31412",151,32,NA,NA
"P02994",300,128,NA,NA
"P53741",19,0,NA,NA
"Q04228",44,8,NA,NA
"P07560",34,4,NA,NA
"P34223",62,5,NA,NA
"P40422",27,0,NA,NA
"P36013",144,8,NA,NA
"P15625",168,34,NA,NA
"P53920",51,22,NA,NA
"Q12136",40,0,NA,NA
"Q03750",20,0,NA,NA
"P22936",9,0,NA,NA
"P00431",36,4,NA,NA
"P39079",123,5,NA,NA
"P39986",187,53,NA,NA
"Q06168",29,0,NA,NA
"P38787",83,20,NA,NA
"P14743",8,0,NA,NA
"Q12159",52,21,NA,NA
"P40089",70,34,NA,NA
"P32481",180,67,NA,NA
"P49095",95,28,NA,NA
"P38075",37,18,NA,NA
"P15873",57,29,NA,NA
"P29468",20,0,NA,NA
"P46367",89,18,NA,NA
"P53927",23,8,NA,NA
"P05759",17,7,NA,NA
"Q04660",58,6,NA,NA
"P32583",31,0,NA,NA
"P24280",72,4,NA,NA
"P39015",174,0,NA,NA
"P05739",37,9,NA,NA
"Q02326",38,9,NA,NA
"P39985",87,0,NA,NA
"P46982",31,5,NA,NA
"Q08954",8,0,NA,NA
"P38691",19,0,NA,NA
"P53978",45,3,NA,NA
"P33327",69,0,NA,NA
"P32454",168,47,NA,NA
"P07263",98,30,NA,NA
"P32449",148,23,NA,NA
"P53100",25,4,NA,NA
"Q08444",12,0,NA,NA
"P43589",19,7,NA,NA
"P02557",207,45,NA,NA
"P40414",35,0,NA,NA
"P40075",152,32,NA,NA
"P45818",32,5,NA,NA
"Q12165",48,18,NA,NA
"P17076",29,4,NA,NA
"Q02776",41,10,NA,NA
"Q06078",117,25,NA,NA
"P15700",79,13,NA,NA
"P40202",10,8,NA,NA
"P40541",21,0,NA,NA
"P34760",174,40,NA,NA
"Q08641",68,2,NA,NA
"Q06672",12,0,NA,NA
"P00729",49,1,NA,NA
"P20447",68,15,NA,NA
"P40217",59,35,NA,NA
"P53925",29,0,NA,NA
"Q12285",55,8,NA,NA
"Q08977",115,0,NA,NA
"Q00055",101,7,NA,NA
"Q12040",21,0,NA,NA
"P07347",12,7,NA,NA
"Q07527",76,0,NA,NA
"P07267",106,42,NA,NA
"P00812",35,4,NA,NA
"P25618",11,0,NA,NA
"P52286",71,7,NA,NA
"Q99189",25,0,NA,NA
"Q00245",47,2,NA,NA
"P89105",73,0,NA,NA
"P53881",35,0,NA,NA
"P13663",212,56,NA,NA
"P22138",103,11,NA,NA
"P49723",222,2,NA,NA
"Q07878",148,36,NA,NA
"P39727",29,10,NA,NA
"P46675",37,0,NA,NA
"P00359",144,49,NA,NA
"P00360",169,58,NA,NA
"P00358",115,40,NA,NA
"Q08746",29,9,NA,NA
"P38879",74,19,NA,NA
"P02309",53,1,NA,NA
"Q06385",118,0,NA,NA
"P32288",73,14,NA,NA
"P32568",50,16,NA,NA
"Q03921",131,0,NA,NA
"P30657",111,31,NA,NA
"P16370",42,15,NA,NA
"Q04439",109,34,NA,NA
"P20051",52,13,NA,NA
"P38713",48,7,NA,NA
"P36015",49,9,NA,NA
"P34087",29,16,NA,NA
"P38137",41,1,NA,NA
"Q06629",12,0,NA,NA
"P38199",96,25,NA,NA
"P13517",77,5,NA,NA
"P19524",197,16,NA,NA
"P02992",135,43,NA,NA
"P36144",18,13,NA,NA
"P41811",277,99,NA,NA
"P53550",49,5,NA,NA
"P38863",15,4,NA,NA
"P11484",61,37,NA,NA
"P40150",61,38,NA,NA
"P14843",77,20,NA,NA
"P42826",28,4,NA,NA
"P25655",150,0,NA,NA
"P53629",10,2,NA,NA
"Q12449",63,23,NA,NA
"P04046",156,47,NA,NA
"P27680",17,0,NA,NA
"P38431",138,4,NA,NA
"P25044",11,0,NA,NA
"P25373",56,16,NA,NA
"P00937",87,11,NA,NA
"P05453",98,45,NA,NA
"Q08162",77,15,NA,NA
"Q04511",13,0,NA,NA
"Q03034",30,3,NA,NA
"P38061",31,9,NA,NA
"P28707",23,8,NA,NA
"P38911",63,22,NA,NA
"P10659",34,8,NA,NA
"P38836",62,8,NA,NA
"Q04175",175,0,NA,NA
"P17505",68,10,NA,NA
"P41277",157,25,NA,NA
"P23254",339,42,NA,NA
"P53912",108,19,NA,NA
"P38891",156,51,NA,NA
"P16603",159,22,NA,NA
"P38217",107,0,NA,NA
"P07277",67,9,NA,NA
"P47117",74,22,NA,NA
"Q06287",73,13,NA,NA
"Q02892",62,5,NA,NA
"P38932",20,7,NA,NA
"P28495",52,17,NA,NA
"P47102",14,0,NA,NA
"P23561",10,0,NA,NA
"Q3E7Z5",10,0,NA,NA
"P47912",166,34,NA,NA
"P29952",127,38,NA,NA
"P32892",114,31,NA,NA
"P32597",59,9,NA,NA
"P28834",82,10,NA,NA
"P35691",87,32,NA,NA
"P25582",21,0,NA,NA
"P31382",41,8,NA,NA
"P13298",116,26,NA,NA
"P52910",255,45,NA,NA
"P43590",63,4,NA,NA
"P47001",18,10,NA,NA
"P28319",56,29,NA,NA
"P16649",67,23,NA,NA
"P19414",147,41,NA,NA
"P04840",207,127,NA,NA
"Q06497",72,0,NA,NA
"Q01662",114,27,NA,NA
"P40212",29,0,NA,NA
"P38817",50,28,NA,NA
"P47131",66,0,NA,NA
"P25567",181,7,NA,NA
"P39007",43,10,NA,NA
"P54858",26,0,NA,NA
"Q07938",11,7,NA,NA
"Q06673",16,0,NA,NA
"Q12018",16,0,NA,NA
"P38912",47,17,NA,NA
"P41940",226,76,NA,NA
"P35844",63,7,NA,NA
"Q01560",105,35,NA,NA
"P32911",76,22,NA,NA
"P15992",126,25,NA,NA
"P07170",134,13,NA,NA
"P05030",108,47,NA,NA
"P07172",71,18,NA,NA
"Q03656",21,0,NA,NA
"P53235",151,63,NA,NA
"Q12745",16,0,NA,NA
"P38109",27,6,NA,NA
"P39078",169,23,NA,NA
"Q12114",78,24,NA,NA
"P26783",171,6,NA,NA
"Q05359",9,0,NA,NA
"P32521",59,1,NA,NA
"P05374",49,10,NA,NA
"P38144",76,6,NA,NA
"P08678",32,3,NA,NA
"P38707",321,88,NA,NA
"P46989",30,16,NA,NA
"P38286",61,17,NA,NA
"P05756",80,0,NA,NA
"P38009",272,63,NA,NA
"P28272",143,26,NA,NA
"Q12118",87,0,NA,NA
"P32600",55,0,NA,NA
"Q01532",101,2,NA,NA
"Q02046",99,17,NA,NA
"Q03195",145,25,NA,NA
"P32501",75,22,NA,NA
"O13547",19,0,NA,NA
"P17423",85,15,NA,NA
"P80210",200,33,NA,NA
"P38628",76,7,NA,NA
"P07283",126,35,NA,NA
"Q04947",116,0,NA,NA
"P32469",116,38,NA,NA
"P53152",13,1,NA,NA
"P25369",66,0,NA,NA
"P47008",20,0,NA,NA
"P09880",20,0,NA,NA
"P05743",10,0,NA,NA
"P53221",10,0,NA,NA
"P38811",53,6,NA,NA
"Q06608",33,7,NA,NA
"Q12754",113,1,NA,NA
"P07256",138,23,NA,NA
"P15703",60,13,NA,NA
"P32790",34,14,NA,NA
"Q02959",16,5,NA,NA
"P40477",44,11,NA,NA
"P02400",97,0,NA,NA
"P18759",100,14,NA,NA
"P38139",12,7,NA,NA
"P33302",258,50,NA,NA
"P43556",14,0,NA,NA
"P37020",9,0,NA,NA
"P31787",42,0,NA,NA
"Q12464",88,15,NA,NA
"P53256",9,0,NA,NA
"P29704",85,0,NA,NA
"P38793",44,19,NA,NA
"P36148",43,10,NA,NA
"P05626",38,0,NA,NA
"P34222",29,6,NA,NA
"Q07830",10,7,NA,NA
"Q08412",37,0,NA,NA
"P07245",523,92,NA,NA
"P14065",13,5,NA,NA
"Q02821",113,0,NA,NA
"P10591",127,42,NA,NA
"P32610",48,0,NA,NA
"P21242",51,16,NA,NA
"P48015",84,30,NA,NA
"P33298",55,0,NA,NA
"P12688",74,0,NA,NA
"P38250",50,0,NA,NA
"P10507",19,0,NA,NA
"P32558",140,11,NA,NA
"P11412",75,19,NA,NA
"P40327",47,10,NA,NA
"P33338",109,0,NA,NA
"P31373",177,32,NA,NA
"Q04697",57,0,NA,NA
"P39676",230,31,NA,NA
"P39931",35,1,NA,NA
"P47054",96,0,NA,NA
"P41805",93,23,NA,NA
"P38353",146,8,NA,NA
"P28274",137,18,NA,NA
"P34730",45,0,NA,NA
"P23639",70,20,NA,NA
"P29311",88,0,NA,NA
"Q05911",247,11,NA,NA
"P17695",24,0,NA,NA
"P16387",164,14,NA,NA
"P11745",106,9,NA,NA
"Q08208",28,8,NA,NA
"P21304",60,17,NA,NA
"P10080",89,23,NA,NA
"P32939",60,23,NA,NA
"Q12314",70,17,NA,NA
"P53330",42,0,NA,NA
"P27810",43,8,NA,NA
"P37898",205,34,NA,NA
"P39954",198,27,NA,NA
"P21954",112,30,NA,NA
"P41807",148,0,NA,NA
"Q05016",102,13,NA,NA
"Q12265",72,19,NA,NA
"P30656",39,19,NA,NA
"P22202",68,11,NA,NA
"Q03262",28,0,NA,NA
"Q04491",133,73,NA,NA
"Q12480",59,12,NA,NA
"P40495",82,10,NA,NA
"Q05506",272,29,NA,NA
"P21538",18,0,NA,NA
"P32614",182,26,NA,NA
"P40010",70,6,NA,NA
"P48415",54,0,NA,NA
"P50107",27,13,NA,NA
"P54861",89,14,NA,NA
"P38858",53,6,NA,NA
"P50109",18,0,NA,NA
"P07257",75,31,NA,NA
"P15019",196,22,NA,NA
"P02829",125,26,NA,NA
"P22137",660,94,NA,NA
"Q12447",108,26,NA,NA
"Q03497",54,0,NA,NA
"P40482",197,42,NA,NA
"P49167",41,9,NA,NA
"P06169",343,50,NA,NA
"P32527",111,0,NA,NA
"P40693",54,10,NA,NA
"P38694",83,21,NA,NA
"P32660",14,1,NA,NA
"P07251",178,42,NA,NA
"P12695",145,41,NA,NA
"Q12109",173,17,NA,NA
"P25293",142,14,NA,NA
"Q00764",128,31,NA,NA
"P32191",49,9,NA,NA
"P50101",12,0,NA,NA
"P38555",46,18,NA,NA
"P36114",81,0,NA,NA
"P00931",364,61,NA,NA
"P19262",50,16,NA,NA
"P39683",53,2,NA,NA
"P34077",13,0,NA,NA
"P07342",203,35,NA,NA
"P40531",227,0,NA,NA
"P39742",53,0,NA,NA
"P32626",25,1,NA,NA
"P53868",10,5,NA,NA
"P40548",17,0,NA,NA
"Q06451",38,0,NA,NA
"P38205",116,23,NA,NA
"Q12117",33,0,NA,NA
"P22515",352,72,NA,NA
"P38264",94,2,NA,NA
"P27692",109,22,NA,NA
"P38902",21,6,NA,NA
"P39109",59,5,NA,NA
"P33201",64,28,NA,NA
"Q12024",65,26,NA,NA
"Q04305",113,30,NA,NA
"P40474",10,0,NA,NA
"P38885",49,7,NA,NA
"Q06214",28,11,NA,NA
"P53943",34,0,NA,NA
"P23641",169,0,NA,NA
"P38861",67,21,NA,NA
"P05694",348,57,NA,NA
"P23542",219,32,NA,NA
"P19211",67,38,NA,NA
"P23301",98,48,NA,NA
"P23202",64,8,NA,NA
"Q06440",62,16,NA,NA
"Q12324",36,0,NA,NA
"Q12211",50,6,NA,NA
"P46672",174,28,NA,NA
"P38777",52,17,NA,NA
"P32327",115,19,NA,NA
"P11154",33,6,NA,NA
"P38972",583,101,NA,NA
"P28241",132,26,NA,NA
"P54839",158,44,NA,NA
"Q03640",217,89,NA,NA
"P42941",26,6,NA,NA
"P32468",42,6,NA,NA
"P47818",69,0,NA,NA
"P43588",65,18,NA,NA
"P41810",222,25,NA,NA
"P00330",155,43,NA,NA
"P41058",8,2,NA,NA
"P15646",138,38,NA,NA
"P53290",29,6,NA,NA
"P39522",278,41,NA,NA
"Q12743",14,0,NA,NA
"P40016",43,0,NA,NA
"Q04894",166,43,NA,NA
"P38631",144,13,NA,NA
"Q03280",122,0,NA,NA
"P47044",16,0,NA,NA
"P33333",28,12,NA,NA
"P38120",10,0,NA,NA
"P32915",95,7,NA,NA
"P35180",30,0,NA,NA
"Q12518",10,0,NA,NA
"P39968",140,0,NA,NA
"P06103",214,100,NA,NA
"P48589",118,21,NA,NA
"P32916",36,5,NA,NA
"Q03690",434,41,NA,NA
"Q02939",34,0,NA,NA
"Q08217",27,0,NA,NA
"P16550",212,40,NA,NA
"P54113",121,27,NA,NA
"P39077",180,23,NA,NA
"P12684",41,8,NA,NA
"P35817",25,0,NA,NA
"P12683",29,0,NA,NA
"P40303",51,11,NA,NA
"P07991",158,30,NA,NA
"P32337",349,5,NA,NA
"P11632",30,0,NA,NA
"P53090",306,49,NA,NA
"P43535",122,32,NA,NA
"Q08745",40,4,NA,NA
"P53549",26,15,NA,NA
"P54838",243,31,NA,NA
"P32608",64,6,NA,NA
"P47160",26,0,NA,NA
"P17891",25,0,NA,NA
"P04802",209,60,NA,NA
"Q05027",32,0,NA,NA
"P20449",158,28,NA,NA
"P36060",41,5,NA,NA
"P05750",176,45,NA,NA
"P09436",524,89,NA,NA
"Q03048",87,34,NA,NA
"P69771",10,0,NA,NA
"Q08822",12,2,NA,NA
"P22146",81,13,NA,NA
"P39976",166,41,NA,NA
"P47176",157,45,NA,NA
"Q06891",31,0,NA,NA
"P38132",13,2,NA,NA
"P30822",187,8,NA,NA
"P53252",153,0,NA,NA
"Q12230",118,0,NA,NA
"P15303",218,54,NA,NA
"Q05775",60,0,NA,NA
"P40510",50,5,NA,NA
"P08566",310,63,NA,NA
"Q03532",105,17,NA,NA
"P47154",47,4,NA,NA
"P40094",29,0,NA,NA
"P14540",272,37,NA,NA
"P38115",116,15,NA,NA
"P06704",8,0,NA,NA
"P33892",768,0,NA,NA
"P32582",297,60,NA,NA
"P26637",409,42,NA,NA
"Q12000",23,0,NA,NA
"P40047",38,5,NA,NA
"P37291",324,41,NA,NA
"P32875",73,15,NA,NA
"P37292",121,28,NA,NA
"Q07381",87,27,NA,NA
"P38737",108,0,NA,NA
"P08524",154,0,NA,NA
"P53276",74,17,NA,NA
"P04050",269,46,NA,NA
"P05318",54,0,NA,NA
"P39105",12,0,NA,NA
"P07264",154,39,NA,NA
"P21264",255,68,NA,NA
"Q06705",44,0,NA,NA
"P50094",153,27,NA,NA
"Q99258",47,3,NA,NA
"P40069",525,0,NA,NA
"P32499",71,0,NA,NA
"P29453",33,4,NA,NA
"P32861",257,84,NA,NA
"P16474",193,58,NA,NA
"P48231",26,17,NA,NA
"P36016",62,19,NA,NA
"P16140",344,76,NA,NA
"P25574",63,27,NA,NA
"P35127",13,7,NA,NA
"P39743",62,0,NA,NA
"P09232",50,19,NA,NA
"P32588",73,15,NA,NA
"P40825",434,98,NA,NA
"P38682",10,1,NA,NA
"P10614",181,12,NA,NA
"P38715",91,22,NA,NA
"P00950",179,23,NA,NA
"P08417",152,5,NA,NA
"P43616",241,42,NA,NA
"P21951",49,3,NA,NA
"P40364",42,1,NA,NA
"P38875",12,0,NA,NA
"P81451",25,1,NA,NA
"O14467",46,0,NA,NA
"P40053",81,15,NA,NA
"P28777",150,42,NA,NA
"P0C0V8",16,8,NA,NA
"Q3E754",16,8,NA,NA
"Q12680",486,82,NA,NA
"P13188",226,47,NA,NA
"P35194",77,0,NA,NA
"P10081",282,47,NA,NA
"P32497",201,1,NA,NA
"P25635",15,11,NA,NA
"Q08985",78,19,NA,NA
"Q06151",59,17,NA,NA
"P38066",12,3,NA,NA
"Q03940",118,35,NA,NA
"P04801",249,54,NA,NA
"P05319",37,0,NA,NA
"Q12460",187,21,NA,NA
"P29469",28,0,NA,NA
"P39107",48,24,NA,NA
"P41338",168,33,NA,NA
"P15424",87,28,NA,NA
"P32379",125,31,NA,NA
"P33401",121,27,NA,NA
"P30624",155,25,NA,NA
"P21965",80,3,NA,NA
"P14742",95,22,NA,NA
"P53844",27,3,NA,NA
"P06208",107,21,NA,NA
"P47120",133,0,NA,NA
"P00958",270,18,NA,NA
"P07213",122,0,NA,NA
"P07806",406,85,NA,NA
"P00447",91,7,NA,NA
"P47079",279,25,NA,NA
"P39958",181,44,NA,NA
"P34160",73,0,NA,NA
"Q12499",222,8,NA,NA
"P38716",21,3,NA,NA
"P37303",135,20,NA,NA
"P07149",923,169,NA,NA
"P11792",14,0,NA,NA
"P53184",81,14,NA,NA
"Q01454",23,14,NA,NA
"P20606",150,27,NA,NA
"P32528",48,11,NA,NA
"Q00955",809,202,NA,NA
"P40302",110,28,NA,NA
"Q12466",70,15,NA,NA
"P35193",19,0,NA,NA
"Q07844",34,4,NA,NA
"Q04067",79,17,NA,NA
"P38249",256,2,NA,NA
"Q03558",253,25,NA,NA
"P32602",75,0,NA,NA
"P14126",159,61,NA,NA
"P38791",240,37,NA,NA
"Q12389",62,15,NA,NA
"Q03973",18,0,NA,NA
"P33734",165,45,NA,NA
"P32264",73,22,NA,NA
"Q08225",86,20,NA,NA
"P38697",74,18,NA,NA
"P09064",83,7,NA,NA
"P38219",206,44,NA,NA
"P38999",135,17,NA,NA
"P29496",18,11,NA,NA
"P23615",149,17,NA,NA
"Q05636",20,1,NA,NA
"P53914",80,26,NA,NA
"P60010",258,59,NA,NA
"Q12019",216,22,NA,NA
"P15108",182,35,NA,NA
"P18562",106,24,NA,NA
"P53981",106,17,NA,NA
"P32381",89,28,NA,NA
"P16120",251,34,NA,NA
"Q12125",24,0,NA,NA
"P07246",149,55,NA,NA
"Q08421",83,0,NA,NA
"P36421",191,17,NA,NA
"P05317",122,26,NA,NA
"P24783",133,28,NA,NA
"P38720",265,26,NA,NA
"P31539",432,46,NA,NA
"P38764",192,0,NA,NA
"Q05022",328,124,NA,NA
"P38260",83,0,NA,NA
"P46151",18,6,NA,NA
"P33330",225,39,NA,NA
"Q06685",49,10,NA,NA
"P23644",122,40,NA,NA
"P13433",15,0,NA,NA
"P32471",134,46,NA,NA
"P48439",34,6,NA,NA
"Q96VH5",35,0,NA,NA
"Q12176",109,0,NA,NA
"Q01855",70,17,NA,NA
"P38333",71,0,NA,NA
"Q06103",39,0,NA,NA
"P03965",123,18,NA,NA
"P17255",594,143,NA,NA
"Q08818",23,0,NA,NA
"P04807",350,73,NA,NA
"P39744",38,0,NA,NA
