"Proteins","Start.position","End.position","Intensity","Intensity.ST168.THF.A","Intensity.ST168.THF.O","Intensity.ST169.DMSO.A","Intensity.ST169.DMSO.O","Intensity.ST170.But.A","Intensity.ST170.But.O","Reverse","Potential.contaminant"
"P39685",1005,1019,14273000,14273000,0,0,0,0,0,"",""
"P14742",417,438,305820000,0,0,0,136540000,0,169280000,"",""
"P14742",417,439,1240100000,0,657500000,0,0,0,582580000,"",""
"P32563",318,325,514450000,110860000,14741000,169800000,41358000,118740000,58968000,"",""
"P16120",223,233,401430000,164860000,0,121630000,0,113140000,1802500,"",""
"P38251",338,348,17297000,0,0,10443000,0,6854200,0,"",""
"P41921",172,192,783290000,197570000,0,83634000,411590000,90493000,0,"",""
"P07149",1337,1349,2104300000,342010000,63496000,372970000,283910000,609940000,431930000,"",""
"P21965",238,250,799570000,144890000,27747000,161490000,221600000,76152000,167690000,"",""
"Q04223",183,195,0,0,0,0,0,0,0,"",""
"P30624",176,198,2769900000,610490000,0,618030000,1118500000,260630000,162310000,"",""
"P19882",119,126,855250000,286090000,6633100,231970000,0,330560000,0,"",""
"P33401",237,273,3233700000,173640000,1091100000,0,837190000,0,1131800000,"",""
"P42945",1669,1689,144560000,53989000,0,39547000,0,51021000,0,"",""
"P32599",226,243,16327000,0,0,16327000,0,0,0,"",""
"P25694",242,249,173200000,44564000,1251200,65252000,0,60684000,1451300,"",""
"P32379",171,194,178020000,72033000,13221000,71524000,0,0,21246000,"",""
"P00890",440,451,2410200000,0,693050000,0,684850000,0,1032300000,"",""
"P38708",241,256,1392300000,160890000,5310000,130100000,464530000,136560000,494940000,"",""
"P38115",188,201,492310000,209770000,13906000,134990000,0,133640000,0,"",""
"P53141",33,54,292310000,0,0,0,292310000,0,0,"",""
"P31373",13,37,747570000,191040000,0,342800000,0,213720000,0,"",""
"P39714",329,341,7159500,0,0,0,0,7159500,0,"",""
"P21538",254,282,4299400,0,0,4299400,0,0,0,"",""
"P21538",254,284,42207000,0,0,19407000,0,22800000,0,"",""
"Q07478",76,107,665950000,167830000,4416900,266080000,0,227630000,0,"",""
"P15424",376,384,31282000,0,1678700,0,9250000,12210000,8143700,"",""
"Q03195",166,178,15021000,15021000,0,0,0,0,0,"",""
"P07991",136,148,130090000,39795000,0,20480000,0,69820000,0,"",""
"P41338",97,106,704660000,399870000,12382000,0,6769200,247170000,38463000,"",""
"P38883",148,170,78042000,0,78042000,0,0,0,0,"",""
"P00549",397,409,4.4353e+10,1.1214e+10,385470000,1.4446e+10,1168200000,1.6256e+10,882860000,"",""
"P40961",66,72,60439000,29768000,0,30672000,0,0,0,"",""
"P43590",230,241,7808400,0,0,0,0,7808400,0,"",""
"P17255",115,127,426840000,158700000,4214600,122360000,0,139290000,2272600,"",""
"Q12499",119,138,51498000,0,0,0,0,51498000,0,"",""
"P46672",219,242,315330000,80884000,0,146730000,0,87714000,0,"",""
"P39107",256,265,163380000,55042000,0,56883000,0,48381000,3071500,"",""
"P29469",254,262,135950000,0,85490000,0,0,0,50457000,"",""
"P35194",2449,2463,0,0,0,0,0,0,0,"",""
"Q12460",80,88,801040000,14021000,49555000,207490000,168380000,143530000,218060000,"",""
"P05319",24,37,748090000,243840000,21542000,186370000,0,244950000,51387000,"",""
"P05319",24,48,9.1135e+10,2975900000,2.8458e+10,157300000,3.4978e+10,2110500000,2.2456e+10,"",""
"P25386",78,89,18758000,0,18758000,0,0,0,0,"",""
"P04801",601,608,540490000,166280000,6184100,172260000,1576500,184830000,9357600,"",""
"Q03940",74,85,173550000,77947000,3186400,85539000,1700600,0,5173800,"",""
"P40069",375,397,10771000,0,0,10771000,0,0,0,"",""
"P38066",240,251,186460000,13428000,22775000,14041000,52537000,11209000,72470000,"",""
"Q06151",288,309,826900000,0,542850000,0,58922000,0,225130000,"",""
"P47112",35,46,11496000,6493800,0,5002300,0,0,0,"",""
"P53316",616,627,15859000,0,0,8429500,0,7429000,0,"",""
"P40467",99,117,34381000,17684000,0,16698000,0,0,0,"",""
"P04786",590,600,3651000,0,0,3651000,0,0,0,"",""
"Q08985",183,209,647330000,0,461640000,0,90560000,0,95133000,"",""
"P25635",79,85,22911000,0,0,9813000,0,9427000,3671200,"",""
"P32497",502,514,427500000,157340000,18388000,72443000,43831000,73131000,62367000,"",""
"P32497",502,520,151580000,45643000,5438600,33232000,24575000,33622000,9068100,"",""
"P07259",1288,1301,1295800000,0,75559000,83088000,648460000,122760000,365920000,"",""
"P07259",1288,1310,1755100000,0,0,131560000,1271700000,0,351880000,"",""
"P10081",52,72,9.198e+09,1843700000,56693000,2800900000,2272100000,2049900000,174800000,"",""
"P35194",253,265,94546000,5138400,0,0,78434000,0,10973000,"",""
"P13188",271,280,149480000,44499000,0,53450000,0,49942000,1590500,"",""
"Q08058",51,70,7485900,3524900,0,0,0,3961000,0,"",""
"P19524",1321,1345,0,0,0,0,0,0,0,"",""
"P49956",344,357,6478400,6478400,0,0,0,0,0,"",""
"P04819",401,408,8071600,0,0,0,0,8071600,0,"",""
"Q12680",1261,1283,1998200000,121480000,14597000,46824000,1491600000,139700000,183980000,"",""
"Q06631",317,335,19179000,0,0,0,19179000,0,0,"",""
"Q12019",2043,2060,24569000,13274000,0,11295000,0,0,0,"",""
"Q12452",95,118,254800000,0,158960000,0,0,0,95838000,"",""
"P43612",39,50,3592000,0,0,0,3592000,0,0,"",""
"P07244",710,718,146840000,80704000,0,0,0,66131000,0,"",""
"P15454",110,117,4386100,0,0,0,4386100,0,0,"",""
"Q3E754",45,60,1.342e+10,2503300000,2258600000,1277600000,3616700000,136080000,3627600000,"",""
"P0C0V8",45,60,3479400000,470120000,226010000,300170000,1420100000,0,1.063e+09,"",""
"P28777",346,366,4645800000,0,3556400000,9527400,180410000,2521700,896950000,"",""
"P40053",401,412,35916000,0,0,0,1134800,0,34782000,"",""
"O14467",118,127,624970000,202800000,0,183340000,2352700,223100000,13371000,"",""
"P38712",111,131,17008000,0,0,0,0,17008000,0,"",""
"P81451",11,35,490050000,0,205800000,0,128880000,0,155370000,"",""
"P38875",84,95,42735000,0,0,0,31926000,0,10809000,"",""
"P40364",103,120,341220000,0,135720000,0,85423000,0,120070000,"",""
"P40364",103,123,699410000,0,295630000,0,195390000,0,208380000,"",""
"P38788",37,61,3509700000,80383000,0,1522800000,1874200000,32348000,0,"",""
"P21951",1106,1120,66462000,5595100,0,0,33440000,4316600,23111000,"",""
"P27476",225,232,105610000,13076000,0,43736000,0,48796000,0,"",""
"Q02486",172,179,95622000,0,0,56058000,0,39564000,0,"",""
"P33416",127,133,25247000,8506300,0,8502500,0,8238100,0,"",""
"P43616",26,39,849950000,0,13725000,432450000,12625000,359880000,31274000,"",""
"P38968",599,611,239640000,0,0,128430000,0,111200000,0,"",""
"P08417",98,110,375150000,158860000,0,110610000,0,1e+08,5672100,"",""
"P08417",98,139,22031000,0,0,0,0,22031000,0,"",""
"P00950",61,71,3.0623e+10,1.122e+10,295120000,1.1708e+10,37081000,6802500000,559350000,"",""
"P00950",61,74,5168600,0,0,0,5168600,0,0,"",""
"Q00955",1746,1764,761710000,167930000,14326000,211230000,123720000,224450000,20067000,"",""
"P19097",553,568,308640000,67230000,3712200,68056000,0,165100000,4544200,"",""
"P19097",553,573,16741000,7429500,0,9311800,0,0,0,"",""
"P49090",500,510,155340000,144260000,2517500,0,3672700,0,4885500,"",""
"P40563",618,633,3260900,3260900,0,0,0,0,0,"",""
"P38715",62,70,162620000,42905000,0,49224000,0,67811000,2678700,"",""
"P10614",260,270,216470000,43730000,0,103050000,0,65517000,4176600,"",""
"P32481",119,127,366580000,115990000,0,130570000,0,120020000,0,"",""
"P42842",821,833,6101000,0,0,3721200,0,2379700,0,"",""
"P38999",50,63,44045000,0,0,0,0,44045000,0,"",""
"P38999",50,85,1579100000,111200000,505330000,0,373920000,59325000,529380000,"",""
"P38736",14,27,48916000,21335000,992600,0,2564600,24024000,0,"",""
"P34222",162,177,28316000,0,0,0,5441600,22875000,0,"",""
"P32074",693,706,513860000,131950000,17949000,132200000,88690000,115020000,28050000,"",""
"P38682",387,396,891110,0,0,0,0,0,891110,"",""
"P36018",154,161,31564000,31564000,0,0,0,0,0,"",""
"P23638",162,181,17616000,5738600,0,6876200,0,5001100,0,"",""
"P23638",162,185,0,0,0,0,0,0,0,"",""
"P23638",162,195,1158600000,0,152050000,158520000,718180000,129790000,0,"",""
"P40825",886,895,308150000,85113000,0,113580000,0,104470000,4993000,"",""
"P32588",85,92,201400000,176860000,12739000,0,0,0,11804000,"",""
"P32832",421,430,10638000,0,0,10638000,0,0,0,"",""
"P53871",69,85,11491000,0,0,11491000,0,0,0,"",""
"P17106",136,165,16339000,0,0,7949500,0,8389500,0,"",""
"P38555",77,84,65840000,32987000,0,32853000,0,0,0,"",""
"P09232",470,482,649580000,164840000,7319300,214920000,0,250450000,12054000,"",""
"P39683",335,343,84208000,0,0,61133000,0,23075000,0,"",""
"P39743",108,127,1406900000,91269000,57422000,349210000,638400000,171710000,98854000,"",""
"P29496",387,397,5152900,0,0,0,2267800,2885100,0,"",""
"P53091",316,326,30477000,0,0,16257000,0,14220000,0,"",""
"P32377",240,251,83074000,51644000,0,0,0,31430000,0,"",""
"P35127",54,66,41600000,8813000,0,6845400,6503400,16024000,3414100,"",""
"P32381",299,315,217960000,0,1596200,95744000,10041000,107750000,2828400,"",""
"P32381",299,318,19277000,0,0,19277000,0,0,0,"",""
"P25574",620,635,157360000,34633000,3817300,54723000,18057000,44768000,1366000,"",""
"P16140",75,89,1865200000,470610000,46997000,467940000,150990000,599020000,129650000,"",""
"P16140",75,90,111380000,101040000,0,10340000,0,0,0,"",""
"P36139",249,264,9854000,9854000,0,0,0,0,0,"",""
"P52489",399,411,27252000,13298000,0,0,0,13955000,0,"",""
"P36016",34,52,210410000,0,0,0,120710000,0,89704000,"",""
"P48231",210,224,28633000,11632000,0,0,0,0,17002000,"",""
"P00447",214,222,258350000,90325000,9380300,94093000,0,64550000,0,"",""
"P36006",378,390,40731000,22844000,0,17887000,0,0,0,"",""
"Q04439",378,390,121510000,0,121510000,0,0,0,0,"",""
"Q04264",398,408,0,0,0,0,0,0,0,"",""
"Q12680",1099,1117,4050700,4050700,0,0,0,0,0,"",""
"P07149",396,406,112290000,20137000,0,56951000,0,35199000,0,"",""
"P25586",300,316,70350000,48451000,0,0,0,21899000,0,"",""
"Q05636",2,13,3027500,0,0,3027500,0,0,0,"",""
"P16521",400,408,644030000,158660000,0,252600000,0,221450000,11326000,"",""
"P16521",400,409,190170000,0,0,75214000,0,114960000,0,"",""
"P29952",277,300,48008000,0,0,24926000,0,23082000,0,"",""
"P48015",171,181,78022000,46017000,0,0,0,32005000,0,"",""
"P00549",467,474,4431200000,1383700000,43185000,1386300000,0,1582500000,35392000,"",""
"P22203",32,38,47664000,47664000,0,0,0,0,0,"",""
"Q05050",629,638,3555100,1395900,0,2159300,0,0,0,"",""
"P16474",345,356,102080000,0,0,53799000,0,48279000,0,"",""
"P16474",345,357,267540000,84926000,0,85990000,0,94044000,2579000,"",""
"P32861",46,60,1630800000,281290000,0,355830000,378800000,313790000,301080000,"",""
"P53920",314,330,136790000,0,136790000,0,0,0,0,"",""
"P46969",175,195,7223700,7223700,0,0,0,0,0,"",""
"P00560",273,297,1.8994e+10,2528400000,924780000,750170000,8.953e+09,3234700000,2603100000,"",""
"P06101",147,157,26449000,26449000,0,0,0,0,0,"",""
"P0CS90",292,317,1680600000,219880000,1038200000,162060000,111260000,55116000,94035000,"",""
"P38845",358,373,94683000,54782000,0,0,0,39901000,0,"",""
"P36114",555,586,11933000,0,0,0,0,11933000,0,"",""
"P32590",583,600,69525000,26779000,0,42746000,0,0,0,"",""
"P38249",897,905,5936100,0,0,5936100,0,0,0,"",""
"P10614",219,234,208460000,56552000,0,34130000,0,117780000,0,"",""
"P10614",219,252,519460000,0,108390000,0,143230000,0,267840000,"",""
"Q08421",350,385,28435000,0,0,28435000,0,0,0,"",""
"P23615",1068,1084,46767000,0,0,46767000,0,0,0,"",""
"P35691",96,108,12775000,6713100,0,6061700,0,0,0,"",""
"P35691",96,111,346670000,102530000,0,110770000,0,133370000,0,"",""
"P29453",22,32,224780000,41879000,0,86335000,0,94521000,2048300,"",""
"P33892",1157,1184,398630000,0,0,0,398630000,0,0,"",""
"P32525",259,277,121770000,0,0,0,121770000,0,0,"",""
"P46680",489,511,148610000,64756000,1396200,82453000,0,0,0,"",""
"Q03262",246,269,15340000,0,0,0,15340000,0,0,"",""
"P40825",476,485,11170000,6971900,0,1802400,0,2396000,0,"",""
"P38891",321,342,89467000,89467000,0,0,0,0,0,"",""
"P07263",295,307,18606000,18606000,0,0,0,0,0,"",""
"P04840",45,61,798280000,202610000,0,350460000,0,245210000,0,"",""
"P39976",267,283,164020000,0,0,69905000,0,94111000,0,"",""
"P32911",86,100,7464500,7464500,0,0,0,0,0,"",""
"P32499",102,122,359420000,14632000,0,0,168600000,100910000,75286000,"",""
"P53731",312,328,63970000,37780000,328720,17270000,0,8591600,0,"",""
"P37291",442,455,432940000,150310000,0,120210000,0,162420000,0,"",""
"P37291",442,456,334270000,151080000,1283100,21032000,0,160870000,0,"",""
"P19097",1091,1104,283340000,82912000,0,120320000,0,80112000,0,"",""
"P40069",961,971,248280000,87403000,3428200,62349000,0,91164000,3934200,"",""
"P40069",961,976,346610000,135810000,0,207780000,0,0,3021100,"",""
"Q02785",1028,1053,105860000,0,0,0,76930000,28926000,0,"",""
"Q99258",115,124,153420000,44230000,0,54129000,169100,51157000,3734900,"",""
"P32558",659,668,58827000,29690000,0,29137000,0,0,0,"",""
"P32558",659,673,13920000,0,0,0,0,13920000,0,"",""
"P07149",1141,1150,406020000,196320000,4533200,0,0,195030000,10136000,"",""
"P26786",57,72,4.4236e+10,4447700000,5493100000,805260000,1.1251e+10,1043800000,2.1195e+10,"",""
"Q03862",2,15,1299900000,78144000,260830000,41393000,361340000,49106000,509050000,"",""
"Q03862",2,17,11001000,0,0,0,11001000,0,0,"",""
"P50094",381,408,313880000,78207000,0,137590000,0,89408000,8674300,"",""
"Q04867",165,178,545230,0,545230,0,0,0,0,"",""
"Q06705",86,96,51650000,35582000,0,0,0,15424000,644720,"",""
"Q06705",86,97,8198500,0,0,3435200,0,4763300,0,"",""
"P53131",651,662,23168000,0,0,23168000,0,0,0,"",""
"P32794",569,582,27503000,13623000,0,13880000,0,0,0,"",""
"P21264",338,351,434150000,114590000,4074500,178180000,4311600,125390000,7598800,"",""
"P07264",335,348,92540000,72195000,6039400,0,5414700,0,8891000,"",""
"P39105",225,236,99554000,38165000,1296500,34323000,0,19783000,5986100,"",""
"P07284",411,433,766850000,408500000,0,119360000,0,238990000,0,"",""
"P38858",194,204,24082000,0,0,24082000,0,0,0,"",""
"P43585",94,102,22458000,0,0,0,0,22458000,0,"",""
"P05694",668,680,66506000,0,0,66506000,0,0,0,"",""
"P05694",668,681,159620000,75655000,0,44135000,0,39830000,0,"",""
"P27476",324,339,441170000,203270000,2388600,189320000,0,46194000,0,"",""
"P40348",191,200,16422000,0,0,0,0,16422000,0,"",""
"Q05584",210,220,24265000,22999000,1266400,0,0,0,0,"",""
"P38708",192,205,327250000,0,0,0,0,0,327250000,"",""
"P05318",48,55,1375400000,533130000,21447000,350850000,0,427290000,42674000,"",""
"P32602",169,183,203590000,72703000,1644200,63283000,0,63751000,2207500,"",""
"P47039",79,92,11404000,11404000,0,0,0,0,0,"",""
"P41810",341,352,0,0,0,0,0,0,0,"",""
"P25586",63,83,14574000,0,0,4835800,0,9738200,0,"",""
"Q04371",323,333,25786000,25786000,0,0,0,0,0,"",""
"P12385",308,316,517400000,231500000,7004400,166870000,0,112020000,0,"",""
"P40040",129,136,16681000,16681000,0,0,0,0,0,"",""
"P53965",253,269,11191000,0,0,0,0,11191000,0,"",""
"P54839",257,263,147450000,0,0,147450000,0,0,0,"",""
"P29704",77,92,113240000,53507000,0,59729000,0,0,0,"",""
"Q12496",799,808,13249000,0,0,0,0,13249000,0,"",""
"P07149",1906,1918,4502200000,817500000,205350000,1109100000,506560000,1075500000,788210000,"",""
"P14922",281,287,10721000,10721000,0,0,0,0,0,"",""
"P47103",236,244,20721000,0,0,20721000,0,0,0,"",""
"P53297",208,224,9882200,9882200,0,0,0,0,0,"",""
"P04050",844,857,130150000,36460000,0,56490000,0,36568000,629680,"",""
"Q12387",118,129,13285000,4438600,0,8846700,0,0,0,"",""
"P53195",204,232,26219000,9648400,0,16571000,0,0,0,"",""
"P53276",135,155,71009000,19194000,0,21279000,0,29879000,656450,"",""
"P38715",154,165,125970000,39242000,1476100,49745000,927180,31707000,2876000,"",""
"P39103",53,70,31047000,11698000,0,19349000,0,0,0,"",""
"P00958",254,262,242500000,0,5121600,120340000,853280,109250000,6931500,"",""
"P42945",55,65,23644000,22643000,1001700,0,0,0,0,"",""
"P14126",350,357,1587500000,367910000,0,797310000,0,422290000,0,"",""
"O13525",231,252,105910000,0,43093000,0,62815000,0,0,"",""
"Q00402",561,574,7693300,0,0,7693300,0,0,0,"",""
"Q03690",1167,1180,166770000,0,0,25594000,0,141180000,0,"",""
"Q06706",980,1008,218680000,23779000,0,78627000,0,116270000,0,"",""
"P53965",198,216,32010000,0,0,0,32010000,0,0,"",""
"P08524",271,280,693580000,239960000,7307300,232800000,1232000,198240000,14041000,"",""
"P08524",271,281,0,0,0,0,0,0,0,"",""
"P15705",100,108,342100000,194120000,0,137360000,0,0,10622000,"",""
"P38737",651,661,15669000,0,0,14683000,0,0,985480,"",""
"Q05979",4,25,91526000,88073000,0,3452900,0,0,0,"",""
"Q03782",482,492,34281000,0,34281000,0,0,0,0,"",""
"P07213",158,167,100830000,58452000,0,26070000,0,16308000,0,"",""
"Q07381",179,201,239500000,0,0,0,0,0,239500000,"",""
"P36015",16,23,64182000,64182000,0,0,0,0,0,"",""
"P36015",16,33,54869000,40102000,0,8831500,0,5935200,0,"",""
"P39109",1381,1388,27617000,0,0,0,0,27617000,0,"",""
"P46151",441,449,40559000,0,0,9578600,8875600,6981500,15123000,"",""
"P37292",107,117,358950000,85922000,4727900,122370000,0,131920000,14013000,"",""
"P36054",77,94,0,0,0,0,0,0,0,"",""
"P32875",379,394,4418200,0,0,0,0,0,4418200,"",""
"P53919",9,38,6019100,0,0,6019100,0,0,0,"",""
"P00560",198,214,1.0435e+11,7639400000,1713800000,5.723e+09,6.4822e+10,39596000,2.4415e+10,"",""
"P32599",475,487,510650000,213880000,4073400,146900000,0,139440000,6354300,"",""
"P27472",377,391,8448000,8448000,0,0,0,0,0,"",""
"P22137",632,640,61595000,0,0,61595000,0,0,0,"",""
"P22137",632,643,8186400,8186400,0,0,0,0,0,"",""
"P15891",2,13,1.239e+09,401630000,16099000,429690000,20317000,371290000,0,"",""
"Q12019",565,583,146140000,8362900,0,0,0,0,137780000,"",""
"P31539",430,442,44916000,0,0,0,0,44916000,0,"",""
"P31539",430,444,260670000,53313000,874900,206490000,0,0,0,"",""
"P37291",328,334,1486500000,456950000,0,580190000,0,425680000,23709000,"",""
"P41807",46,53,379900000,103770000,10889000,121150000,12400000,131690000,0,"",""
"P41807",46,54,71390000,35304000,0,0,0,36085000,0,"",""
"Q03940",327,342,342230000,71954000,3762700,18313000,229860000,0,18340000,"",""
"P89105",157,166,23046000,23046000,0,0,0,0,0,"",""
"P18496",113,128,27802000,0,0,0,27802000,0,0,"",""
"Q06685",699,714,27700000,0,0,15555000,0,12145000,0,"",""
"P40047",109,119,680550000,118520000,57474000,122840000,86602000,136030000,159080000,"",""
"P38811",927,947,19358000,0,0,0,19358000,0,0,"",""
"Q12000",72,81,76338000,67482000,1922100,0,2858700,0,4075700,"",""
"P26637",97,116,3670900000,234040000,0,61854000,2128300000,150990000,1095700000,"",""
"P07275",77,107,106490000,0,0,0,106490000,0,0,"",""
"P31116",129,157,9579400000,791960000,391620000,0,3208100000,131540000,5056200000,"",""
"Q05468",395,401,4666400,0,1640400,0,0,3026000,0,"",""
"Q08972",555,561,84298000,0,0,84298000,0,0,0,"",""
"P32582",118,125,830680000,251830000,0,216740000,12758000,302840000,46508000,"",""
"P33892",2318,2328,137610000,35910000,0,42612000,0,59089000,0,"",""
"P33892",1630,1637,135500000,28758000,0,54364000,0,47420000,4956200,"",""
"P41811",686,694,165590000,82044000,3253500,80291000,0,0,0,"",""
"P06704",51,58,8625700,0,0,0,0,0,8625700,"",""
"Q12335",49,79,2295800000,0,0,0,1700600000,595170000,0,"",""
"P41921",56,69,310020000,99408000,3313300,107390000,0,99912000,0,"",""
"Q03124",478,486,6538500,0,0,0,0,6538500,0,"",""
"P32582",32,42,542040000,122570000,0,234320000,0,185150000,0,"",""
"P00817",140,155,1.7888e+10,3909600000,807950000,3162200000,3931700000,3572100000,2504100000,"",""
"P38115",119,138,2883300000,0,506950000,0,1145200000,0,1231100000,"",""
"P38805",2,12,38510000,0,0,29358000,0,9151300,0,"",""
"Q3E705",11,28,11341000,0,0,6938800,0,4402700,0,"",""
"P38836",158,173,21170000,5594800,0,8166600,0,7408300,0,"",""
"Q08446",23,32,13964000,7122900,0,0,0,6841100,0,"",""
"P14540",209,246,1.9831e+11,2184700000,6341800000,481290000,1.7268e+11,5847500000,1.0772e+10,"",""
"P40094",152,164,9121400,0,0,0,6180800,0,2940600,"",""
"Q03640",741,765,48221000,0,0,0,0,48221000,0,"",""
"Q12511",305,319,19800000,0,0,14063000,0,5736900,0,"",""
"P53920",272,284,5030400,0,0,5030400,0,0,0,"",""
"P47154",409,416,118830000,34742000,3633700,40772000,19963000,0,19722000,"",""
"P39966",95,106,291180000,98978000,29634000,80824000,0,81748000,0,"",""
"P47160",142,152,1186400,0,1186400,0,0,0,0,"",""
"P47160",142,154,81962000,25142000,0,29174000,0,27645000,0,"",""
"P07149",1591,1604,1575500000,484640000,9057500,549250000,9001600,5.06e+08,17556000,"",""
"P40015",455,477,107280000,0,0,0,107280000,0,0,"",""
"P32608",433,442,8670800,0,0,8670800,0,0,0,"",""
"Q03532",192,200,3504200,0,1531400,0,0,0,1972800,"",""
"Q08601",138,149,139660000,43445000,3739900,47691000,0,44782000,0,"",""
"P08566",431,443,144430000,0,0,54829000,0,78588000,11010000,"",""
"P38237",671,681,0,0,0,0,0,0,0,"",""
"Q00955",1442,1453,487110000,176180000,3737400,166550000,10604000,121140000,8896600,"",""
"P53877",53,65,8535200,0,0,0,0,8535200,0,"",""
"P29703",40,50,0,0,0,0,0,0,0,"",""
"P10127",35,51,32232000,12396000,19836000,0,0,0,0,"",""
"P0CS90",346,368,842610000,172820000,31219000,190050000,184300000,244500000,19726000,"",""
"P15108",549,560,1209900000,307880000,4063000,524740000,0,358020000,15163000,"",""
"P07259",467,489,2071300000,401660000,135150000,424730000,560070000,486110000,63572000,"",""
"P16521",938,957,2290900000,466060000,57384000,493690000,498740000,643680000,131370000,"",""
"P02829",553,564,335350000,124970000,0,103480000,0,106900000,0,"",""
"P53852",489,502,36778000,21146000,0,15632000,0,0,0,"",""
"P40510",50,73,581610000,0,0,0,364120000,37365000,180130000,"",""
"Q03687",378,397,14011000,5938800,0,3259600,0,4812100,0,"",""
"P05739",144,151,412690000,112840000,0,134320000,0,165530000,0,"",""
"P24521",13,25,7969000,7969000,0,0,0,0,0,"",""
"P00560",352,359,3.3177e+10,8483900000,720340000,1.0482e+10,1153200000,1.1129e+10,1208500000,"",""
"P06105",773,784,73990000,27703000,0,34748000,0,11539000,0,"",""
"Q05775",69,79,781370000,248590000,4987000,180230000,2316800,330790000,14450000,"",""
"Q10740",581,592,56653000,0,3249800,53403000,0,0,0,"",""
"P15303",689,705,77638000,0,0,0,63322000,14316000,0,"",""
"P15303",689,710,8145400000,0,3137400000,0,2094100000,0,2913900000,"",""
"Q12230",222,248,1418400000,250970000,21091000,299520000,133760000,6.74e+08,39037000,"",""
"P53252",222,248,3100900000,821300000,37910000,1.093e+09,93122000,981860000,73676000,"",""
"P32324",163,171,1.834e+09,0,0,767940000,139600000,848010000,78398000,"",""
"P32324",163,180,2.1742e+10,2879500000,815670000,2272200000,7663300000,2645300000,5465800000,"",""
"P30822",328,337,30344000,30344000,0,0,0,0,0,"",""
"P30822",328,352,1411500000,0,306280000,0,616970000,0,488250000,"",""
"P33892",2355,2362,164610000,19787000,14661000,21319000,36487000,15967000,56394000,"",""
"P32496",207,219,110960000,13488000,0,53504000,0,43963000,0,"",""
"P38889",203,237,66770000,0,0,9726700,45817000,11226000,0,"",""
"P39742",178,185,2008800000,0,0,2008800000,0,0,0,"",""
"P38132",431,443,79760000,0,0,0,26154000,0,53606000,"",""
"P09624",75,93,10830000,0,0,0,0,10830000,0,"",""
"P16521",128,142,2821500000,813290000,17754000,919390000,70699000,964850000,35514000,"",""
"P16521",128,146,1216100000,282190000,0,431740000,30519000,463470000,8209400,"",""
"P47141",19,35,17564000,0,0,0,0,17564000,0,"",""
"Q06891",114,135,55217000,0,42355000,0,0,0,12862000,"",""
"P53860",240,254,320440000,0,177840000,0,142600000,0,0,"",""
"P38068",116,140,13619000,0,0,13619000,0,0,0,"",""
"P39730",677,685,227490000,0,17899000,0,73121000,0,136470000,"",""
"P32614",312,319,90926000,32090000,0,57489000,1346700,0,0,"",""
"P14922",106,132,306350000,0,306350000,0,0,0,0,"",""
"P47176",162,176,928880000,107260000,40840000,137320000,282920000,136420000,224120000,"",""
"P22137",675,694,131380000,65995000,0,65387000,0,0,0,"",""
"Q08446",74,81,4336500,0,0,0,0,4336500,0,"",""
"P39976",246,262,682210000,0,164420000,257500000,0,0,260300000,"",""
"P22146",106,127,1231800000,452780000,0,189820000,0,246070000,343160000,"",""
"P22146",106,141,3691500000,423150000,470500000,0,1641200000,281410000,875210000,"",""
"Q08822",362,373,44240000,32076000,450670,0,0,11076000,638090,"",""
"P69771",44,53,38790000,15283000,0,10379000,0,12444000,684080,"",""
"Q03048",111,135,784550000,301690000,44668000,292380000,0,130210000,15601000,"",""
"P37898",355,362,67326000,0,0,0,0,67326000,0,"",""
"Q01477",231,246,98652000,0,0,50169000,0,48484000,0,"",""
"P32499",95,101,14569000,14569000,0,0,0,0,0,"",""
"Q06142",647,676,1211300000,46318000,307600000,0,419920000,0,437470000,"",""
"P09436",754,767,3348400000,0,1.201e+09,6757600,963280000,0,1177300000,"",""
"P40482",663,672,138920000,53890000,2242900,45350000,0,37436000,0,"",""
"Q08972",454,469,208280000,79314000,0,122930000,0,6036800,0,"",""
"Q06287",18,34,152560000,0,0,0,152560000,0,0,"",""
"P07248",571,589,12152000,0,0,5885900,0,6266600,0,"",""
"P05750",201,212,5447700000,804580000,145810000,810440000,1639800000,1216400000,830660000,"",""
"P05750",201,223,9557400000,0,6236200,3645300000,1397700000,3976200000,531940000,"",""
"P40495",75,82,84421000,40923000,0,0,0,43498000,0,"",""
"P04051",1266,1273,5562900,5562900,0,0,0,0,0,"",""
"P36060",12,33,383390000,0,227410000,0,54393000,0,101580000,"",""
"P20449",122,132,521530000,67209000,5053100,22239000,288570000,36006000,102450000,"",""
"Q05027",125,136,2880700,0,0,0,0,0,2880700,"",""
"P46676",52,69,9597500,0,0,0,0,9597500,0,"",""
"P10869",492,499,30537000,10595000,0,11076000,0,8865900,0,"",""
"P22137",1485,1504,341240000,295320000,6575600,21905000,0,17436000,0,"",""
"P47163",321,332,3545000,0,0,0,3545000,0,0,"",""
"P38688",214,231,51047000,15734000,0,18333000,0,16980000,0,"",""
"P22517",82,102,90759000,0,0,0,90759000,0,0,"",""
"P39676",87,104,454150000,85499000,0,198200000,16262000,154180000,0,"",""
"P04802",51,58,736130000,204140000,10393000,250040000,2098000,255590000,13869000,"",""
"P17891",197,212,309040000,116650000,5650800,162570000,14564000,0,9612900,"",""
