"id","num_amino_acids_in_sample","num_chain_amino_acids_in_sample","numberofAA","num_caa"
"P06782",34,17,633,352
"P43609",98,72,557,322
"Q12154",65,38,354,201
"Q12044",22,10,265,204
"P53318",26,8,479,188
"P09547",9,9,1314,812
"Q12220",25,8,943,437
"P53091",21,4,1017,558
"P32340",82,29,513,238
"Q06543",35,18,272,105
"P06101",54,17,506,272
"P36161",33,5,1157,470
"P53010",8,0,1115,577
"P38177",19,5,466,325
"Q01329",25,2,785,314
"P38813",19,10,335,194
"Q12500",28,12,764,486
"P14741",44,11,305,108
"P23776",64,24,448,233
"Q03529",14,7,384,147
"Q12102",17,3,859,451
"Q12462",22,14,236,64
"P31383",185,30,635,140
"P48582",28,0,844,325
"Q05788",30,11,311,145
"Q01802",18,5,451,199
"P43321",9,2,101,46
"Q07623",23,9,225,151
"P53254",58,19,1237,603
"Q06833",29,21,770,492
"P53731",74,13,342,141
"P50095",84,35,523,250
"Q02725",25,1,835,413
"P25644",63,4,796,484
"Q04213",9,1,475,318
"P47075",100,35,721,299
"P40970",45,18,561,254
"P31384",29,13,837,566
"P37296",39,10,890,316
"P25045",83,29,558,244
"P53141",8,3,149,52
"P46682",23,8,809,380
"P47096",34,17,177,84
"P28321",16,8,313,138
"P19881",31,21,312,138
"P53238",14,4,335,215
"P29509",129,59,319,145
"P42942",54,18,411,180
"P47104",15,15,1357,673
"P46951",8,0,817,244
"P25451",42,11,205,70
"P40012",36,12,539,227
"Q12335",137,57,198,85
"P17555",132,73,526,270
"P39076",48,8,527,181
"P37302",129,60,537,284
"Q03835",25,4,250,102
"P53312",67,21,427,179
"P27476",87,55,414,312
"P32368",105,17,623,247
"P12904",32,9,322,127
"Q06489",125,55,411,171
"Q08971",35,14,146,60
"P36081",21,19,392,216
"P23724",41,19,241,108
"P38840",55,24,513,240
"P38810",81,41,929,501
"Q03246",9,1,237,82
"P53063",27,12,387,178
"P00445",144,84,154,90
"P25375",85,22,712,262
"P53969",18,10,484,225
"P53200",7,2,248,122
"P38961",14,3,392,207
"P07260",103,63,213,117
"P39993",33,14,1459,571
"P40462",90,28,946,330
"P20081",95,50,114,58
"P32457",10,2,520,259
"Q08951",17,8,932,460
"P38795",98,32,714,301
"P24279",64,22,971,550
"P38271",7,1,328,190
"P89886",57,20,181,76
"P00128",17,6,127,37
"P33299",56,26,467,233
"P48525",15,9,536,232
"Q04373",36,12,656,252
"P54783",46,32,526,249
"P35207",25,3,1287,649
"P15367",25,7,167,64
"P38850",13,1,1070,703
"P46959",21,8,383,208
"P49687",23,6,1317,819
"P25719",40,10,182,87
"P33322",116,65,483,263
"Q06706",148,61,1349,581
"P07702",169,141,1392,907
"P53130",17,4,126,51
"P25087",113,49,383,154
"P47119",66,29,197,74
"P23248",33,15,255,131
"P33442",34,16,255,131
"Q12490",28,21,1755,1081
"P38883",44,19,763,325
"P36049",31,31,427,310
"Q01476",62,30,1272,557
"P47077",50,22,666,277
"P41814",61,32,478,283
"P17709",120,36,500,192
"P53723",83,24,404,164
"P02406",40,21,149,87
"Q99216",14,4,274,143
"P36018",35,17,234,115
"P34216",168,101,1381,1091
"P32333",29,18,1867,767
"P18239",109,22,318,79
"P01123",64,33,206,95
"P39960",173,62,2167,1292
"P40319",68,39,345,126
"Q12349",27,27,124,105
"Q02648",17,4,567,279
"P38295",96,34,451,212
"P32474",16,10,517,251
"P49954",96,37,291,132
"P32895",81,29,427,241
"P47143",200,71,340,122
"P36519",27,6,292,171
"Q02486",12,5,183,64
"Q03161",111,46,297,139
"P38340",20,18,232,96
"P40032",74,33,644,319
"Q05040",22,19,523,274
"P00927",140,50,576,242
"P34221",52,20,468,255
"Q12513",12,0,150,81
"P53622",277,91,1201,550
"P40509",68,14,296,81
"P43132",32,18,505,323
"Q06689",51,9,675,246
"P04456",50,19,142,88
"P46956",60,13,311,105
"P53327",45,12,1967,766
"P40513",37,10,266,136
"P52911",43,24,562,335
"P07284",197,71,462,172
"P21576",179,95,704,300
"P34110",12,0,944,347
"P04051",52,22,1460,676
"P35719",19,5,219,113
"Q04225",58,41,511,309
"O13535",69,40,1793,1088
"P04806",185,70,485,191
"P53860",30,13,351,164
"P32179",24,5,357,163
"P39517",137,48,506,275
"P12754",113,61,651,440
"P53852",114,25,767,311
"P15454",97,36,187,68
"P38077",35,16,311,124
"P03871",10,4,373,145
"P06786",74,28,1428,740
"P53551",23,13,258,178
"P38116",84,31,183,82
"P47771",40,6,506,198
"P13382",7,1,1468,823
"O13563",41,20,156,86
"P54885",89,38,456,165
"P52918",26,0,1224,341
"P38701",76,32,121,54
"P38013",157,63,176,77
"P41057",10,3,56,33
"P30605",27,1,584,173
"P00815",322,134,799,324
"P38221",20,10,457,151
"P09734",72,31,445,181
"P09032",43,12,578,349
"P25294",84,32,352,199
"Q12074",137,42,293,111
"P39714",114,45,382,166
"P37254",24,8,787,334
"P36010",49,20,153,51
"P20967",128,50,1014,456
"P22133",53,13,377,148
"Q02795",32,15,286,126
"P43638",10,2,1398,979
"P80428",30,17,489,242
"P32621",47,23,518,259
"Q08287",14,14,484,294
"P12612",149,51,559,203
"P21825",8,0,274,133
"P57744",12,0,87,21
"P61830",39,6,136,72
"P32769",71,27,611,285
"P38626",81,46,284,123
"P38426",86,37,1054,558
"P31412",151,43,392,144
"P02994",300,110,458,192
"P53741",19,19,515,374
"Q04228",44,21,584,306
"P07560",34,28,215,103
"P34223",62,46,423,309
"P40422",27,27,70,56
"P36013",144,65,669,354
"P15625",168,58,503,207
"P53920",51,26,997,461
"Q12136",40,10,610,407
"Q03750",20,5,510,307
"P22936",9,1,367,174
"P00431",36,19,361,198
"P39079",123,25,546,183
"P39986",187,66,1215,459
"Q06168",29,4,426,246
"P38787",83,28,379,136
"P14743",8,1,455,207
"Q12159",52,23,226,161
"P40089",70,27,93,40
"P32481",180,96,527,262
"P49095",95,37,1034,482
"P38075",37,18,228,95
"P15873",57,22,258,92
"P29468",20,0,568,240
"P46367",89,43,519,208
"P53927",23,5,220,140
"P05759",17,10,152,80
"Q04660",58,52,807,616
"P32583",31,31,406,392
"P24280",72,14,304,114
"P39015",174,167,273,266
"P05739",37,28,176,103
"Q02326",38,26,176,100
"P39985",87,23,1022,385
"P46982",31,19,586,294
"Q08954",8,0,240,117
"P38691",19,5,1029,855
"P53978",45,21,1044,386
"P33327",69,16,1092,441
"P32454",168,57,952,354
"P07263",98,34,546,246
"P32449",148,73,370,184
"P53100",25,10,379,187
"Q08444",12,12,459,307
"P43589",19,9,448,216
"P02557",207,69,457,182
"P40414",35,10,161,20
"P40075",152,120,244,169
"P45818",32,14,564,293
"Q12165",48,12,160,57
"P17076",29,18,256,123
"Q02776",41,19,476,257
"Q06078",117,57,939,479
"P15700",79,18,204,77
"P40202",10,2,249,116
"P40541",21,7,1150,503
"P34760",174,76,196,82
"Q08641",68,49,628,453
"Q06672",12,0,205,113
"P00729",49,15,532,249
"P20447",68,27,523,273
"P40217",59,24,347,162
"P53925",29,20,644,294
"Q12285",55,28,212,122
"Q08977",115,27,551,208
"Q00055",101,37,391,163
"Q12040",21,7,230,107
"P07347",12,3,238,120
"Q07527",76,27,1436,519
"P07267",106,43,405,195
"P00812",35,12,333,149
"P25618",11,11,953,330
"P52286",71,54,194,102
"Q99189",25,3,972,232
"Q00245",47,24,231,119
"P89105",73,12,1077,366
"P53881",35,11,309,146
"P13663",212,93,365,167
"P22138",103,43,1203,555
"P49723",222,52,345,103
"Q07878",148,55,3144,1257
"P39727",29,19,415,204
"P46675",37,7,888,437
"P00359",144,63,332,145
"P00360",169,74,332,150
"P00358",115,51,332,143
"Q08746",29,9,203,122
"P38879",74,43,174,98
"P02309",53,15,103,56
"Q06385",118,54,345,173
"P32288",73,34,370,182
"P32568",50,13,1501,605
"Q03921",131,29,1698,557
"P30657",111,25,266,117
"P16370",42,14,318,172
"Q04439",109,37,1219,616
"P20051",52,24,364,155
"P38713",48,22,996,627
"P36015",49,18,200,58
"P34087",29,8,171,60
"P38137",41,24,543,256
"Q06629",12,0,674,299
"P38199",96,28,381,191
"P13517",77,30,287,111
"P19524",197,71,1574,546
"P02992",135,47,437,188
"P36144",18,4,274,117
"P41811",277,103,889,393
"P53550",49,28,970,780
"P38863",15,5,823,305
"P11484",61,24,613,194
"P40150",61,23,613,193
"P14843",77,38,370,175
"P42826",28,19,600,271
"P25655",150,43,2108,745
"P53629",10,8,642,233
"Q12449",63,23,350,157
"P04046",156,66,510,229
"P27680",17,2,312,126
"P38431",138,61,405,195
"P25044",11,1,335,158
"P25373",56,15,110,30
"P00937",87,42,484,209
"P05453",98,43,685,400
"Q08162",77,42,1001,448
"Q04511",13,0,668,349
"Q03034",30,14,503,238
"P38061",31,12,130,91
"P28707",23,13,216,156
"P38911",63,38,411,298
"P10659",34,15,382,180
"P38836",62,20,430,223
"Q04175",175,32,944,239
"P17505",68,16,334,121
"P41277",157,78,250,108
"P23254",339,158,680,304
"P53912",108,54,376,169
"P38891",156,66,393,195
"P16603",159,86,691,318
"P38217",107,24,918,262
"P07277",67,12,443,153
"P47117",74,27,449,198
"Q06287",73,23,252,121
"Q02892",62,23,647,332
"P38932",20,8,577,247
"P28495",52,18,268,101
"P47102",14,2,1408,538
"P23561",10,5,717,416
"Q3E7Z5",10,0,69,21
"P47912",166,72,694,274
"P29952",127,58,429,185
"P32892",114,40,752,470
"P32597",59,18,1359,693
"P28834",82,41,360,155
"P35691",87,38,167,68
"P25582",21,10,841,542
"P31382",41,14,759,322
"P13298",116,48,226,88
"P52910",255,91,683,312
"P43590",63,21,535,279
"P47001",18,8,227,160
"P28319",56,24,239,172
"P16649",67,44,713,531
"P19414",147,67,778,374
"P04840",207,68,283,92
"Q06497",72,21,328,84
"Q01662",114,65,387,221
"P40212",29,24,199,106
"P38817",50,22,585,392
"P47131",66,7,105,18
"P25567",181,131,434,361
"P39007",43,21,718,247
"P54858",26,16,310,179
"Q07938",11,3,337,167
"Q06673",16,3,1274,768
"Q12018",16,4,815,280
"P38912",47,29,153,112
"P41940",226,92,361,159
"P35844",63,33,434,177
"Q01560",105,37,414,317
"P32911",76,37,108,50
"P15992",126,100,214,150
"P07170",134,53,222,89
"P05030",108,45,918,339
"P07172",71,40,385,174
"Q03656",21,5,742,527
"P53235",151,84,642,375
"Q12745",16,5,709,246
"P38109",27,5,508,259
"P39078",169,50,528,167
"Q12114",78,51,671,500
"P26783",171,85,225,117
"Q05359",9,0,219,71
"P32521",59,49,1480,1356
"P05374",49,30,869,305
"P38144",76,24,1129,506
"P08678",32,15,2026,1351
"P38707",321,130,554,218
"P46989",30,14,271,144
"P38286",61,20,347,125
"P05756",80,38,151,70
"P38009",272,105,592,246
"P28272",143,65,314,141
"Q12118",87,31,346,193
"P32600",55,6,2474,755
"Q01532",101,40,483,221
"Q02046",99,38,320,129
"Q03195",145,68,608,291
"P32501",75,30,712,375
"O13547",19,5,238,171
"P17423",85,39,357,156
"P80210",200,92,433,190
"P38628",76,18,557,219
"P07283",126,57,254,102
"Q04947",116,79,295,107
"P32469",116,49,300,138
"P53152",13,2,137,70
"P25369",66,11,354,175
"P47008",20,4,294,113
"P09880",20,7,827,355
"P05743",10,10,127,60
"P53221",10,10,127,62
"P38811",53,7,3744,1124
"Q06608",33,18,200,88
"Q12754",113,49,1228,471
"P07256",138,48,457,175
"P15703",60,24,313,142
"P32790",34,20,1244,1020
"Q02959",16,7,697,370
"P40477",44,28,1460,1063
"P02400",97,53,110,66
"P18759",100,44,758,325
"P38139",12,4,375,147
"P33302",258,105,1511,594
"P43556",14,9,714,263
"P37020",9,3,779,290
"P31787",42,7,87,27
"Q12464",88,50,471,204
"P53256",9,1,223,73
"P29704",85,30,444,128
"P38793",44,14,499,223
"P36148",43,13,743,337
"P05626",38,4,244,67
"P34222",29,15,208,128
"Q07830",10,3,1017,328
"Q08412",37,21,411,330
"P07245",523,226,946,406
"P14065",13,3,312,140
"Q02821",113,20,542,187
"P10591",127,39,642,222
"P32610",48,6,256,81
"P21242",51,16,288,124
"P48015",84,27,400,174
"P33298",55,27,428,187
"P12688",74,31,680,392
"P38250",50,48,946,527
"P10507",19,9,462,172
"P32558",140,66,1035,478
"P11412",75,26,505,225
"P40327",47,16,437,197
"P33338",109,26,968,277
"P31373",177,86,394,179
"Q04697",57,20,403,174
"P39676",230,74,399,138
"P39931",35,24,234,147
"P47054",96,28,1683,584
"P41805",93,38,221,100
"P38353",146,47,490,140
"P28274",137,60,579,253
"P34730",45,10,273,75
"P23639",70,14,250,103
"P29311",88,44,267,70
"Q05911",247,78,482,138
"P17695",24,6,143,44
"P16387",164,74,420,225
"P11745",106,57,407,211
"Q08208",28,15,459,342
"P21304",60,42,576,375
"P10080",89,42,294,185
"P32939",60,25,208,96
"Q12314",70,36,213,106
"P53330",42,42,157,130
"P27810",43,11,393,209
"P37898",205,54,856,276
"P39954",198,74,449,184
"P21954",112,42,428,172
"P41807",148,43,478,130
"Q05016",102,22,267,92
"Q12265",72,36,496,292
"P30656",39,20,287,140
"P22202",68,20,642,220
"Q03262",28,10,622,279
"Q04491",133,60,297,139
"Q12480",59,23,344,143
"P40495",82,24,371,145
"Q05506",272,99,607,208
"P21538",18,18,810,627
"P32614",182,72,470,209
"P40010",70,25,520,329
"P48415",54,54,2195,1879
"P50107",27,14,326,168
"P54861",89,16,757,341
"P38858",53,16,249,99
"P50109",18,17,593,492
"P07257",75,23,368,128
"P15019",196,72,335,111
"P02829",125,48,709,321
"P22137",660,191,1653,481
"Q12447",108,32,191,70
"Q03497",54,18,939,743
"P40482",197,102,926,515
"P49167",41,16,78,31
"P06169",343,158,563,243
"P32527",111,74,433,201
"P40693",54,34,322,194
"P38694",83,40,644,280
"P32660",14,2,1571,772
"P07251",178,83,545,234
"P12695",145,64,482,246
"Q12109",173,83,432,200
"P25293",142,69,417,239
"Q00764",128,60,495,174
"P32191",49,8,649,307
"P50101",12,4,1230,575
"P38555",46,22,223,112
"P36114",81,21,725,258
"P00931",364,125,707,280
"P19262",50,23,463,241
"P39683",53,8,429,164
"P34077",13,4,839,341
"P07342",203,88,687,296
"P40531",227,74,326,83
"P39742",53,8,193,58
"P32626",25,6,227,91
"P53868",10,5,555,190
"P40548",17,6,159,85
"Q06451",38,36,622,226
"P38205",116,42,684,346
"Q12117",33,32,320,112
"P22515",352,156,1024,425
"P38264",94,41,188,86
"P27692",109,71,1063,764
"P38902",21,8,120,52
"P39109",59,25,1515,475
"P33201",64,28,236,106
"Q12024",65,28,460,248
"Q04305",113,37,513,240
"P40474",10,1,542,136
"P38885",49,21,310,158
"Q06214",28,10,492,318
"P53943",34,2,586,190
"P23641",169,41,311,72
"P38861",67,16,518,290
"P05694",348,133,767,297
"P23542",219,98,418,171
"P19211",67,18,157,63
"P23301",98,36,157,62
"P23202",64,28,354,183
"Q06440",62,41,651,446
"Q12324",36,15,675,252
"Q12211",50,26,544,306
"P46672",174,89,376,215
"P38777",52,21,243,111
"P32327",115,68,1180,532
"P11154",33,16,1178,531
"P38972",583,257,1358,606
"P28241",132,58,369,161
"P54839",158,67,491,208
"Q03640",217,89,1545,860
"P42941",26,9,309,109
"P32468",42,8,407,160
"P47818",69,40,322,128
"P43588",65,42,306,131
"P41810",222,99,973,344
"P00330",155,58,348,144
"P41058",8,3,56,36
"P15646",138,53,327,183
"P53290",29,7,341,152
"P39522",278,125,585,269
"Q12743",14,1,341,172
"P40016",43,14,523,206
"Q04894",166,73,360,165
"P38631",144,61,1876,699
"Q03280",122,29,3268,1524
"P47044",16,0,245,118
"P33333",28,13,303,133
"P38120",10,1,278,142
"P32915",95,28,480,144
"P35180",30,3,183,49
"Q12518",10,0,454,287
"P39968",140,34,578,176
"P06103",214,94,763,372
"P48589",118,52,143,61
"P32916",36,14,621,338
"Q03690",434,170,1277,579
"Q02939",34,11,513,209
"Q08217",27,7,1101,636
"P16550",212,107,321,160
"P54113",121,39,591,241
"P39077",180,69,534,172
"P12684",41,18,1045,500
"P35817",25,8,686,459
"P12683",29,24,1054,536
"P40303",51,18,254,104
"P07991",158,65,424,188
"P32337",349,54,1089,229
"P11632",30,8,93,36
"P53090",306,134,500,218
"P43535",122,42,752,320
"Q08745",40,16,105,51
"P53549",26,8,437,185
"P54838",243,89,584,236
"P32608",64,15,588,200
"P47160",26,16,408,294
"P17891",25,12,233,136
"P04802",209,91,557,228
"Q05027",32,31,157,92
"P20449",158,83,482,235
"P36060",41,36,302,161
"P05750",176,77,240,108
"P09436",524,181,1072,401
"Q03048",87,34,143,55
"P69771",10,1,204,83
"Q08822",12,10,631,318
"P22146",81,43,559,343
"P39976",166,73,496,216
"P47176",157,60,376,171
"Q06891",31,6,181,60
"P38132",13,4,845,405
"P30822",187,30,1084,263
"P53252",153,57,339,155
"Q12230",118,42,341,158
"P15303",218,103,768,356
"Q05775",60,27,265,171
"P40510",50,19,469,242
"P08566",310,128,1588,631
"Q03532",105,27,505,234
"P47154",47,7,453,114
"P40094",29,0,801,233
"P14540",272,101,359,139
"P38115",116,75,344,168
"P06704",8,6,161,61
"P33892",768,146,2672,666
"P32582",297,122,507,215
"P26637",409,142,1090,432
"Q12000",23,7,345,208
"P40047",38,7,520,196
"P37291",324,135,469,208
"P32875",73,31,414,225
"P37292",121,58,490,221
"Q07381",87,36,788,443
"P38737",108,25,1868,556
"P08524",154,38,352,79
"P53276",74,38,713,338
"P04050",269,88,1733,899
"P05318",54,18,106,66
"P39105",12,5,664,367
"P07264",154,53,779,378
"P21264",255,98,571,220
"Q06705",44,16,408,175
"P50094",153,82,524,256
"Q99258",47,22,208,92
"P40069",525,129,1113,264
"P32499",71,58,720,594
"P29453",33,19,256,124
"P32861",257,97,499,218
"P16474",193,62,682,259
"P48231",26,9,1178,558
"P36016",62,19,881,310
"P16140",344,147,517,226
"P25574",63,35,760,394
"P35127",13,6,236,112
"P39743",62,12,482,287
"P09232",50,31,635,415
"P32588",73,32,453,297
"P40825",434,200,983,429
"P38682",10,5,493,358
"P10614",181,65,530,202
"P38715",91,40,327,142
"P00950",179,104,247,126
"P08417",152,45,488,175
"P43616",241,114,481,218
"P21951",49,16,2222,952
"P40364",42,34,252,137
"P38875",12,4,610,299
"P81451",25,13,68,41
"O14467",46,23,151,98
"P40053",81,44,627,291
"P28777",150,50,376,174
"P0C0V8",16,4,87,40
"Q3E754",16,4,87,40
"Q12680",486,188,2145,998
"P13188",226,104,809,369
"P35194",77,15,2493,725
"P10081",282,115,395,171
"P32497",201,73,812,377
"P25635",15,4,923,473
"Q08985",78,24,325,127
"Q06151",59,14,350,139
"P38066",12,4,345,199
"Q03940",118,56,463,215
"P04801",249,111,734,282
"P05319",37,11,106,62
"Q12460",187,51,504,184
"P29469",28,3,868,460
"P39107",48,12,395,227
"P41338",168,73,398,175
"P15424",87,27,664,337
"P32379",125,47,260,106
"P33401",121,61,570,251
"P30624",155,65,700,272
"P21965",80,51,375,185
"P14742",95,33,717,298
"P53844",27,13,350,169
"P06208",107,38,619,271
"P47120",133,35,325,109
"P00958",270,101,751,287
"P07213",122,59,617,231
"P07806",406,177,1104,449
"P00447",91,30,233,93
"P47079",279,105,568,237
"P39958",181,71,451,182
"P34160",73,10,861,307
"Q12499",222,56,511,209
"P38716",21,8,378,166
"P37303",135,65,387,174
"P07149",923,362,2051,798
"P11792",14,6,824,542
"P53184",81,37,216,111
"Q01454",23,9,927,518
"P20606",150,69,190,86
"P32528",48,23,1835,873
"Q00955",809,323,2233,919
"P40302",110,48,234,84
"Q12466",70,45,1186,547
"P35193",19,18,415,214
"Q07844",34,12,837,418
"Q04067",79,41,274,188
"P38249",256,94,964,325
"Q03558",253,133,400,207
"P32602",75,23,292,77
"P14126",159,76,387,201
"P38791",240,104,387,173
"Q12389",62,22,995,622
"Q03973",18,7,246,136
"P33734",165,53,552,243
"P32264",73,37,428,178
"Q08225",86,33,711,284
"P38697",74,37,523,255
"P09064",83,64,285,191
"P38219",206,95,394,159
"P38999",135,50,446,181
"P29496",18,7,775,342
"P23615",149,65,1451,724
"Q05636",20,6,305,126
"P53914",80,26,1056,453
"P60010",258,97,375,124
"Q12019",216,65,4910,2102
"P15108",182,69,705,314
"P18562",106,34,216,88
"P53981",106,31,241,86
"P32381",89,41,391,135
"P16120",251,80,514,205
"Q12125",24,6,312,100
"P07246",149,46,375,171
"Q08421",83,33,412,174
"P36421",191,61,394,167
"P05317",122,44,312,132
"P24783",133,49,546,294
"P38720",265,90,489,180
"P31539",432,146,908,325
"P38764",192,54,993,408
"Q05022",328,130,1729,815
"P38260",83,20,290,77
"P46151",18,6,657,329
"P33330",225,93,395,182
"Q06685",49,15,1146,642
"P23644",122,70,387,159
"P13433",15,2,1351,575
"P32471",134,41,206,103
"P48439",34,22,350,126
"Q96VH5",35,13,97,40
"Q12176",109,43,1025,629
"Q01855",70,36,142,71
"P38333",71,34,483,300
"Q06103",39,18,429,130
"P03965",123,76,1118,502
"P17255",594,202,1071,427
"Q08818",23,4,692,246
"P04807",350,121,486,189
"P39744",38,7,710,320
"P09950",59,23,548,297
"P54115",327,117,500,182
"P35724",18,10,969,665
"P38708",298,117,688,283
"Q86ZR7",50,19,236,89
"P32787",24,19,269,164
"Q02792",17,12,1006,571
"Q06494",52,10,345,148
"P08518",124,42,1224,599
"P31688",147,73,896,399
"P32463",28,12,125,64
"P06105",426,206,1222,473
"P49089",168,74,572,218
"P22803",51,19,104,34
"P39533",70,19,789,380
"P16861",442,199,987,422
"P32419",76,17,343,130
"Q08245",56,3,113,26
"P32599",264,119,642,286
"P40185",109,40,145,73
"P27616",187,83,306,128
"P38687",91,20,599,224
"P38825",54,16,639,245
"Q12068",52,13,342,127
"P26786",96,29,190,65
"P39104",8,1,1066,621
"P38788",289,112,538,191
"P32563",176,55,840,279
"P15624",215,87,595,250
"P15565",45,17,570,276
"P53598",125,42,329,149
"P00890",131,37,479,167
"P40961",87,11,287,67
"P12709",385,145,554,185
"Q10740",63,22,671,272
"P32589",349,134,693,253
"P10592",128,30,639,214
"P14682",13,13,295,209
"P15891",176,141,592,473
"P10964",236,108,1664,792
"P26785",63,37,198,84
"P33204",60,16,171,57
"P49090",173,75,572,224
"Q04371",88,22,470,166
"P00942",169,71,248,99
"P11075",124,41,2009,925
"Q99287",39,17,776,278
"P0CS90",295,107,654,233
"P22203",110,22,233,47
"P20434",41,22,215,90
"Q03655",43,19,524,312
"Q01939",78,44,405,163
"P26321",196,82,297,129
"P34167",116,87,436,380
"P48164",84,22,190,61
"P32324",597,199,842,289
"P04147",350,177,577,244
"P42945",175,31,1769,484
"Q08972",260,89,1196,530
"P38088",277,98,690,313
"P38768",9,5,344,188
"P38934",166,71,470,149
"P38174",49,26,421,186
"P38623",19,14,610,406
"Q04636",99,48,552,304
"Q03862",130,61,593,303
"P27809",84,57,442,257
"P32074",191,65,935,308
"P39935",190,137,952,738
"P06634",244,96,604,359
"P32377",84,31,396,144
"P39990",91,31,126,43
"P53738",38,21,135,56
"P00549",424,174,500,197
"P38998",62,24,373,173
"Q06142",313,64,861,174
"P19882",311,99,572,216
"P07278",35,6,416,196
"P53733",22,14,91,62
"P43583",79,16,2143,847
"P53742",36,18,486,250
"P12945",132,36,854,250
"P00817",212,110,287,156
"P40413",127,54,562,215
"P09624",246,97,499,229
"P07244",460,193,802,337
"P00925",209,78,437,173
"P00924",122,43,437,172
"P07259",990,435,2214,1041
"P07262",177,78,454,174
"Q12452",73,28,347,125
"P53313",68,26,767,401
"P39730",339,135,1002,550
"P46655",379,143,708,307
"P06197",11,0,220,44
"P32366",156,48,345,99
"P31116",219,94,359,133
"Q12692",44,8,134,68
"P32473",239,93,366,161
"P40024",187,70,610,241
"P06168",242,72,395,146
"Q12344",19,19,894,506
"P33421",11,2,198,84
"P00498",168,65,297,112
"P25349",109,52,247,132
"P00560",345,142,416,178
"P38625",277,113,525,217
"P10622",45,14,106,68
"P25443",166,68,254,115
"P32628",102,81,398,258
"P38011",240,121,319,160
"P38689",77,19,320,138
"P16862",546,222,959,387
"P19097",920,375,1887,811
"P17967",278,131,522,243
"Q07478",184,98,446,215
"Q12363",100,56,437,225
"P32263",169,50,286,86
"P14747",27,4,604,305
"P46969",105,45,238,103
"P16521",589,225,1044,382
"P25694",461,206,835,410
"P23337",46,12,708,314
"P27472",35,9,705,308
"P15705",165,54,589,200
"P15180",208,88,591,264
"P09938",217,61,399,132
"P50276",23,0,574,189
"P38915",42,32,602,398
